Codart,Descripcion,Desc_adic,Familia,Codbarra,MARCELA KOURY
0101099180,5365MK T85 NOUGAT,CONJUNTO,LENCERIA,53650228,MARCELA KOURY
0101099190,5365MK T90 BLANCO,CONJUNTO,LENCERIA,53650301,MARCELA KOURY
0101099200,5365MK T90 HUESO,CONJUNTO,LENCERIA,53650302,MARCELA KOURY
0101099210,5365MK T90 NEGRO,CONJUNTO,LENCERIA,53650303,MARCELA KOURY
0101099220,5365MK T90 NOUGAT,CONJUNTO,LENCERIA,53650328,MARCELA KOURY
0101099230,5365MK T95 BLANCO,CONJUNTO,LENCERIA,53650401,MARCELA KOURY
0101099240,5365MK T95 HUESO,CONJUNTO,LENCERIA,53650402,MARCELA KOURY
0101099250,5365MK T95 NEGRO,CONJUNTO,LENCERIA,53650403,MARCELA KOURY
0101099260,5365MK T95 NOUGAT,CONJUNTO,LENCERIA,53650428,MARCELA KOURY
0101099270,5365MK T100 BLANCO,CONJUNTO,LENCERIA,53650501,MARCELA KOURY
0101099280,5365MK T100 HUESO,CONJUNTO,LENCERIA,53650502,MARCELA KOURY
0101099290,5365MK T100 NEGRO,CONJUNTO,LENCERIA,53650503,MARCELA KOURY
0101099300,5365MK T100 NOUGAT,CONJUNTO,LENCERIA,53650528,MARCELA KOURY
0101099310,5370MK T85 BLANCO,CONJUNTO,LENCERIA,53700201,MARCELA KOURY
0101099320,5370MK T85 HUESO,CONJUNTO,LENCERIA,53700202,MARCELA KOURY
0101099330,5370MK T85 NEGRO,CONJUNTO,LENCERIA,53700203,MARCELA KOURY
0101099340,5370MK T85 NOUGAT,CONJUNTO,LENCERIA,53700228,MARCELA KOURY
0101099350,5370MK T85 ESMERALDA,CONJUNTO,LENCERIA,53700235,MARCELA KOURY
0101099360,5370MK T90 BLANCO,CONJUNTO,LENCERIA,53700301,MARCELA KOURY
0101099370,5370MK T90 HUESO,CONJUNTO,LENCERIA,53700302,MARCELA KOURY
0101099380,5370MK T90 NEGRO,CONJUNTO,LENCERIA,53700303,MARCELA KOURY
0101099390,5370MK T90 NOUGAT,CONJUNTO,LENCERIA,53700328,MARCELA KOURY
0101099400,5370MK T90 ESMERALDA,CONJUNTO,LENCERIA,53700335,MARCELA KOURY
0101099410,5370MK T95 BLANCO,CONJUNTO,LENCERIA,53700401,MARCELA KOURY
0101099420,5370MK T95 HUESO,CONJUNTO,LENCERIA,53700402,MARCELA KOURY
0101099430,5370MK T95 NEGRO,CONJUNTO,LENCERIA,53700403,MARCELA KOURY
0101099440,5370MK T95 NOUGAT,CONJUNTO,LENCERIA,53700428,MARCELA KOURY
0101099450,5370MK T95 ESMERALDA,CONJUNTO,LENCERIA,53700435,MARCELA KOURY
0101099460,5370MK T100 BLANCO,CONJUNTO,LENCERIA,53700501,MARCELA KOURY
0101099470,5370MK T100 HUESO,CONJUNTO,LENCERIA,53700502,MARCELA KOURY
0101099480,5370MK T100 NEGRO,CONJUNTO,LENCERIA,53700503,MARCELA KOURY
0101099490,5370MK T100 NOUGAT,CONJUNTO,LENCERIA,53700528,MARCELA KOURY
0101099500,5370MK T100 ESMERALDA,CONJUNTO,LENCERIA,53700535,MARCELA KOURY
0101099510,5372MK T85 BLANCO,CONJUNTO,LENCERIA,53720201,MARCELA KOURY
0101099520,5372MK T85 NEGRO,CONJUNTO,LENCERIA,53720203,MARCELA KOURY
0101099530,5372MK T85 NOUGAT,CONJUNTO,LENCERIA,53720228,MARCELA KOURY
