Codart,Descripcion,Descadicional,Familia,Codbarras,Descagrupacion,marca
0401001630,SABANA ARCOIRIS 180 MIXTO QUEE,AMI18JDQR1CHAD,BLANQUERIA,7794170018134,SABANA,arcoiris
0401001640,SABANA ARCOIRIS 180 MIXTO QUEE,AMI18JDQR1DORIAN,BLANQUERIA,7794170018141,SABANA,arcoiris
0401001650,SABANAS ARCOIRIS EMMA QUEEN,AMI18JDQR1EMMA,BLANQUERIA,7794170018158,SABANA,arcoiris
0401001660,SABANA ARCOIRIS 180 MIXTO QUEE,AMI18JDQR1FRANCI,BLANQUERIA,7794170018165,SABANA,arcoiris
0401001670,SABANA ARCOIRIS 180 MIXTO QUEE,AMI18JDQR1NURIA,BLANQUERIA,7794170018172,SABANA,arcoiris
0401001680,SABANAS ARCOIRIS WEST QUEEN,AMI18JDQR1WEST,BLANQUERIA,7794170018189,SABANA,arcoiris
0401001690,SABANA ARCOIRIS 180 MIXTO TWIN,AMI18JDXR1CHAD,BLANQUERIA,7794170018196,SABANA,arcoiris
0401001700,SABANA ARCOIRIS 180 MIXTO TWIN,AMI18JDXR1DORIAN,BLANQUERIA,7794170018202,SABANA,arcoiris
0401001710,SABANA ARCOIRIS 180 MIXTO TWIN,AMI18JDXR1EMMA,BLANQUERIA,7794170018219,SABANA,arcoiris
0401001720,SABANA ARCOIRIS 180 MIXTO TWIN,AMI18JDXR1FRANCI,BLANQUERIA,7794170018226,SABANA,arcoiris
0401001730,SABANA ARCOIRIS 180 MIXTO TWIN,AMI18JDXR1NURIA,BLANQUERIA,7794170018233,SABANA,arcoiris
0401001740,SABANA ARCOIRIS 180 MIXTO TWIN,AMI18JDXR1WEST,BLANQUERIA,7794170018240,SABANA,arcoiris
0401001750,SABANA ARCOIRIS 180 BORDE 2 1/,A1B18JDCR1CASPER,BLANQUERIA,7794170018462,SABANA,arcoiris
0401001760,SABANA ARCOIRIS 180 BORDE 2 1/,A1B18JDCR1CIRCLE,BLANQUERIA,7794170018479,SABANA,arcoiris
0401001770,SABANA ARCOIRIS 180 BORDE 2 1/,A1B18JDCR1ELOY,BLANQUERIA,7794170018486,SABANA,arcoiris
0401001780,SABANA ARCOIRIS 180 BORDE 2 1/,A1B18JDCR1IAN,BLANQUERIA,7794170018493,SABANA,arcoiris
0401001790,SABANA ARCOIRIS 180 BORDE 2 1/,A1B18JDCR1MATT,BLANQUERIA,7794170018516,SABANA,arcoiris
0401001800,SABANA ARCOIRIS 180 BORDE 2 1/,A1B18JDCR1MEG,BLANQUERIA,7794170018523,SABANA,arcoiris
0401001810,SABANA ARCOIRIS 180 BORDE 2 1/,A1B18JDCR1SURIA,BLANQUERIA,7794170018554,SABANA,arcoiris
0401001820,SABANA ARCOIRIS 180 BORDE 2 1/,A1B18JDCR1ZOE,BLANQUERIA,7794170018578,SABANA,arcoiris
0401001830,SABANA ARCOIRIS 180 BORDE KING,A1B18JDKR1CASPER,BLANQUERIA,7794170018592,SABANA,arcoiris
0401001840,SABANA ARCOIRIS 180 BORDE KING,A1B18JDKR1CIRCLE,BLANQUERIA,7794170018608,SABANA,arcoiris
0401001850,SABANA ARCOIRIS 180 BORDE KING,A1B18JDKR1ELOY,BLANQUERIA,7794170018615,SABANA,arcoiris
0401001860,SABANA ARCOIRIS KINGSIZE IAN,A1B18JDKR1IAN,BLANQUERIA,7794170018622,SABANA,arcoiris
0401001870,SABANA ARCOIRIS 180 BORDE KING,A1B18JDKR1MATT,BLANQUERIA,7794170018646,SABANA,arcoiris
0401001880,SABANA ARCOIRIS 180 BORDE KING,A1B18JDKR1MEG,BLANQUERIA,7794170018653,SABANA,arcoiris
0401001890,SABANA ARCOIRIS 180 BORDE KING,A1B18JDKR1SURIA,BLANQUERIA,7794170018684,SABANA,arcoiris
0401001900,SABANA ARCOIRIS 180 BORDE KING,A1B18JDKR1ZOE,BLANQUERIA,7794170018707,SABANA,arcoiris
0401001910,SABANA ARCOIRIS 180 BORDE QUEE,A1B18JDQR1CASPER,BLANQUERIA,7794170018721,SABANA,arcoiris
0401001920,SABANA ARCOIRIS 180 BORDE QUEE,A1B18JDQR1CIRCLE,BLANQUERIA,7794170018738,SABANA,arcoiris
0401001930,SABANA ARCOIRIS 180 BORDE QUEE,A1B18JDQR1ELOY,BLANQUERIA,7794170018745,SABANA,arcoiris
0401001940,SABANAS ARCOIRIS IAN QUEEN,A1B18JDQR1IAN,BLANQUERIA,7794170018752,SABANA,arcoiris
0401001950,SABANA ARCOIRIS 180 BORDE QUEE,A1B18JDQR1MATT,BLANQUERIA,7794170018776,SABANA,arcoiris
