Cod_art,Descripcion,Desc_adicional,Familia,Cod_barras,marca
0101030490,171C T80 FUC/GRIS,CONJUNTO,LENCERIA,223171135080,coramina
0101030500,171C T85 FUC/GRIS,CONJUNTO,LENCERIA,223171135085,coramina
0101030510,171C T90 FUC/GRIS,CONJUNTO,LENCERIA,223171135090,coramina
0101030520,171C T95 FUC/GRIS,CONJUNTO,LENCERIA,223171135095,coramina
0101030530,171C T100 FUC/GRIS,CONJUNTO,LENCERIA,223171135100,coramina
0101030540,172C T85 BLANCO,CONJUNTO,LENCERIA,223172001085,coramina
0101030550,172C T90 BLANCO,CONJUNTO,LENCERIA,223172001090,coramina
0101030560,172C T95 BLANCO,CONJUNTO,LENCERIA,223172001095,coramina
0101030570,172C T100 BLANCO,CONJUNTO,LENCERIA,223172001100,coramina
0101030580,172C T105 BLANCO,CONJUNTO,LENCERIA,223172001105,coramina
0101030590,172C T85 NEGRO,CONJUNTO,LENCERIA,223172002085,coramina
0101030600,172C T90 NEGRO,CONJUNTO,LENCERIA,223172002090,coramina
0101030610,172C T95 NEGRO,CONJUNTO,LENCERIA,223172002095,coramina
0101030620,172C T100 NEGRO,CONJUNTO,LENCERIA,223172002100,coramina
0101030630,172C T105 NEGRO,CONJUNTO,LENCERIA,223172002105,coramina
0101030640,172C T85 AVELLANA,CONJUNTO,LENCERIA,223172003085,coramina
0101030650,172C T90 AVELLANA,CONJUNTO,LENCERIA,223172003090,coramina
0101030660,172C T95 AVELLANA,CONJUNTO,LENCERIA,223172003095,coramina
0101030670,172C T100 AVELLANA,CONJUNTO,LENCERIA,223172003100,coramina
0101030680,172C T105 AVELLANA,CONJUNTO,LENCERIA,223172003105,coramina
0101030690,172C T85 HUESO,CONJUNTO,LENCERIA,223172004085,coramina
0101030700,172C T90 HUESO,CONJUNTO,LENCERIA,223172004090,coramina
0101030710,172C T95 HUESO,CONJUNTO,LENCERIA,223172004095,coramina
0101030720,172C T100 HUESO,CONJUNTO,LENCERIA,223172004100,coramina
0101030730,172C T105 HUESO,CONJUNTO,LENCERIA,223172004105,coramina
0101030740,172C T85 CEREZA,CONJUNTO,LENCERIA,223172040085,coramina
0101030750,172C T90 CEREZA,CONJUNTO,LENCERIA,223172040090,coramina
0101030760,172C T95 CEREZA,CONJUNTO,LENCERIA,223172040095,coramina
0101030770,172C T100 CEREZA,CONJUNTO,LENCERIA,223172040100,coramina
0101030780,172C T105 CEREZA,CONJUNTO,LENCERIA,223172040105,coramina
0101030790,173C T1 BLANCO,CONJUNTO,LENCERIA,223173001001,coramina
0101030800,173C T2 BLANCO,CONJUNTO,LENCERIA,223173001002,coramina
0101030810,173C T3 BLANCO,CONJUNTO,LENCERIA,223173001003,coramina
0101030820,173C T4 BLANCO,CONJUNTO,LENCERIA,223173001004,coramina
0101030830,173C T1 ROSA,CONJUNTO,LENCERIA,223173011001,coramina
