Cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_barras,marca
0201037400,5050XY1 BOXER LARGO,BOXER LARGO,LINEA UNDERWARE HOMBRE,5050XY1,XY
0201037410,1381XY TXL LISO COMB,BOXER,LINEA UNDERWARE HOMBRE,13814007,XY
0201037420,1381XY TXXL LISO COMB,BOXER,LINEA UNDERWARE HOMBRE,13815004,XY
0201037430,1382XY TS C/ COST CONTRACOLOR,BOXER,LINEA UNDERWARE HOMBRE,13821005,XY
0201037440,1382XY TM C/ COST CONTRACOLOR,BOXER,LINEA UNDERWARE HOMBRE,13822002,XY
0201037450,1382XY TL C/ COST CONTRACOLOR,BOXER,LINEA UNDERWARE HOMBRE,13823009,XY
0201037460,1382XY TXL C/ COST CONTRACOLOR,BOXER,LINEA UNDERWARE HOMBRE,13824006,XY
0201037470,1382XY TXXL C/ COST CONTRACOLO,BOXER,LINEA UNDERWARE HOMBRE,13825003,XY
0201037480,1338XY TM HUMO,BOXER,LINEA UNDERWARE HOMBRE,13382001,XY
0201037490,1338XY TL HUMO,BOXER,LINEA UNDERWARE HOMBRE,13383008,XY
0201037500,1338XY TXL HUMO,BOXER,LINEA UNDERWARE HOMBRE,13384005,XY
0201037510,1338XY TXXL HUMO,BOXER,LINEA UNDERWARE HOMBRE,13385002,XY
