Cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_Barras
0201002660,5021BR TS TOPO,BOXER,LINEA UNDERWARE HOMBRE,5021SMA062
0201002670,5021BR TS CANARIO,BOXER,LINEA UNDERWARE HOMBRE,5021SMA078
0201002680,5021BR TS OCEANO,BOXER,LINEA UNDERWARE HOMBRE,5021SMA096
0201002690,5022BR TXL GEO,BOXER,LINEA UNDERWARE HOMBRE,5022EXL088
0201002700,5022BR TXL TROPIC,BOXER,LINEA UNDERWARE HOMBRE,5022EXL091
0201002710,5022BR TL GEO,BOXER,LINEA UNDERWARE HOMBRE,5022LAR088
0201002720,5022BR TL TROPIC,BOXER,LINEA UNDERWARE HOMBRE,5022LAR091
0201002730,5022BR TM GEO,BOXER,LINEA UNDERWARE HOMBRE,5022MED088
0201002740,5022BR TM TROPIC,BOXER,LINEA UNDERWARE HOMBRE,5022MED091
0201002750,5022BR TS GEO,BOXER,LINEA UNDERWARE HOMBRE,5022SMA088
0201002760,5022BR TS TROPIC,BOXER,LINEA UNDERWARE HOMBRE,5022SMA091
0201002770,5023BR TXXXL MELANGE,BOXER,LINEA UNDERWARE HOMBRE,50233XL013
0201002780,5023BR TXL MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5023EXL013
0201002790,5023BR TXL ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5023EXL050
0201002800,5023BR TXL CANARIO,BOXER,LINEA UNDERWARE HOMBRE,5023EXL078
0201002810,5023BR TXL OCEANO,BOXER,LINEA UNDERWARE HOMBRE,5023EXL096
0201002820,5023BR TL MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5023LAR013
0201002830,5023BR TL ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5023LAR050
0201002840,5023BR TL CANARIO,BOXER,LINEA UNDERWARE HOMBRE,5023LAR078
0201002850,5023BR TL OCEANO,BOXER,LINEA UNDERWARE HOMBRE,5023LAR096
0201002860,5023BR TM MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5023MED013
0201002870,5023BR TM ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5023MED050
0201002880,5023BR TM CANARIO,BOXER,LINEA UNDERWARE HOMBRE,5023MED078
0201002890,5023BR TM OCEANO,BOXER,LINEA UNDERWARE HOMBRE,5023MED096
0201002900,5023BR TS MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5023SMA013
0201002910,5023BR TS ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5023SMA050
0201002920,5023BR TS CANARIO,BOXER,LINEA UNDERWARE HOMBRE,5023SMA078
0201002930,5023BR TS OCEANO,BOXER,LINEA UNDERWARE HOMBRE,5023SMA096
0201002940,5023BR TXXL MELNAGE,BOXER,LINEA UNDERWARE HOMBRE,5023XXL013
0201002950,5023BR TXXL ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5023XXL050
